Indicator,Economic,Environmental,Social,Processed_Indicator,Assigned_Classes,Cluster
local Recycling Rate,1,1,0,local recycling rate,"11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials",1
Thermal Hydrolysis,1,1,0,thermal hydrolysis,Unclassified,0
Increase Longevity of Products,1,1,0,increase longevity of products,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"", 11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",0
Make Good Use of Material,1,1,0,make good use of material,Unclassified,4
Lifetime Extension,1,1,0,lifetime extension,Unclassified,0
Greenhouse Gas and CO2 Emission Reduction,1,1,0,greenhouse gas and co2 emission reduction,"11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",8
Air Quality Improvements,1,1,0,air quality improvements,"11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management",5
Pollution Reduction,1,1,0,pollution reduction,"11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",8
Greenhouse Gas Emissions Along a Building's Lifecycle,1,1,0,greenhouse gas emissions along a lifecycle,Unclassified,2
Production of Thermal Energy from Waste Heat,1,1,0,production of thermal energy from waste heat,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,7
Pollution of Resource and Material Reduction,1,1,0,pollution of resource and material reduction,"11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",8
Remanufacturing Practices,1,1,0,remanufacturing practices,Unclassified,3
Extended Producer Responsibility (EPR) Initiatives,1,1,0,extended producer responsibility initiatives,Unclassified,0
Material and Energy Conservation,1,1,0,material and energy conservation,11.4.1 Total per capita expenditure on the preservation protection and conservation of all cultural and natural heritage by source of funding (public private) type of heritage (cultural natural) and level of government (national regional and local/ municipal) 11.4 Strengthen efforts to protect and safeguard the world's cultural and natural heritage,4
Resource-Efficient and Circular Material Life Cycles,1,1,0,and circular material life cycles,Unclassified,4
Remanufacturing Processes,1,1,0,remanufacturing processes,Unclassified,12
Extended Producer Responsibility Initiatives,1,1,0,extended producer responsibility initiatives,Unclassified,0
Renewable Energy Penetration,1,1,0,renewable energy penetration,Unclassified,6
Access to Electricity,1,1,0,access to electricity,"11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums, 11.2.1 Proportion of population that has convenient access to public transport by sex age and persons with disabilities. 11.2 By 2030 provide access to safe affordable accessible and sustainable transport systems for all improving road safety notably by expanding public transport with special attention to the needs of those in vulnerable situations women children persons with disabilities and older persons, 11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities, 11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities",0
Circular Economy (CE) Innovation Budget,1,1,0,circular economy innovation budget,Unclassified,0
Renewable Energy Systems Penetration,1,1,0,renewable energy systems penetration,Unclassified,6
Efficient Use of Energy,1,1,0,efficient use of energy,Unclassified,4
Grid Integration,1,1,0,grid integration,Unclassified,0
Energy Consumption,1,1,0,energy consumption,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,15
Carbon Footprint and Greenhouse Gas Emissions,1,1,0,carbon footprint and greenhouse gas emissions,Unclassified,0
Carbon Storage and Sequestration in Vegetation and Soil,1,1,0,carbon storage and sequestration in vegetation and soil,Unclassified,0
Flow of Emissions,1,1,0,flow of emissions,Unclassified,0
Material Flow Analysis (MFA),1,1,0,material flow analysis,Unclassified,4
Renewable Energy Usage,1,1,0,renewable energy usage,Unclassified,6
Resource Efficiency and Productivity,1,1,0,resource efficiency and productivity,"11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",15
Total Raw Material Productivity,1,1,0,total raw material productivity,"11.4.1 Total per capita expenditure on the preservation protection and conservation of all cultural and natural heritage by source of funding (public private) type of heritage (cultural natural) and level of government (national regional and local/ municipal) 11.4 Strengthen efforts to protect and safeguard the world's cultural and natural heritage, 11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management",4
Water Reduction in Production Processes,1,1,0,water reduction in production processes,"11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",12
Reduction in Potable Water Consumption,1,1,0,reduction in potable water consumption,"11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries, 11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",15
Efficient Use of Water Resources,1,1,0,efficient use of water resources,Unclassified,4
Safe Water Accessibility,0,1,1,safe water accessibility,"11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums, 11.2.1 Proportion of population that has convenient access to public transport by sex age and persons with disabilities. 11.2 By 2030 provide access to safe affordable accessible and sustainable transport systems for all improving road safety notably by expanding public transport with special attention to the needs of those in vulnerable situations women children persons with disabilities and older persons, 11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities, 11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities",14
Water Quality and Availability,1,1,0,water quality and availability,"11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management",5
Grey-Water Reuse and Black-Water Recycling,1,1,0,reuse and recycling,Unclassified,1
Amount of Water Used in Houses,1,1,0,amount of water used in houses,Unclassified,5
Amount of Water Used in Other Sectors,1,1,0,amount of water used in other sectors,Unclassified,5
Integration of Water Resource Management with Human and Material Potential,1,1,1,integration of water resource management with human and material potential,"11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries, 11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries, 11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",15
Strategies to Enhance Material and Human Engagement in Water Conservation,1,1,1,strategies to enhance material and human engagement in water conservation,"11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries, 11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries, 11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",5
Protecting the Natural Environment and Regenerating Natural Systems,0,1,0,protecting the natural environment and regenerating natural systems,"11.4.1 Total per capita expenditure on the preservation protection and conservation of all cultural and natural heritage by source of funding (public private) type of heritage (cultural natural) and level of government (national regional and local/ municipal) 11.4 Strengthen efforts to protect and safeguard the world's cultural and natural heritage, 11.5.1 Number of deaths missing persons and directly affected persons attributed to disasters per 100 000 population. 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations",6
Air Quality Assessment,1,1,0,air quality assessment,"11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management",5
Virgin Resources Used,1,1,0,virgin resources used,Unclassified,4
Biogas Utilization and Impact,1,1,0,biogas utilization and impact,"11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management",0
Ecological Restoration and Biodiversity Enhancement,0,1,0,ecological restoration and biodiversity enhancement,Unclassified,11
Number of Projects Including Nature-Based Solutions,0,1,1,number of projects including solutions,"11.5.1 Number of deaths missing persons and directly affected persons attributed to disasters per 100 000 population. 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations, 11.5.2 Direct economic loss attributed to disasters in relation to global gross domestic product (GDP) 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations, 11.5.3 Damage to critical infrastructure and (b) number of disruptions to basic services attributed to disasters 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations, 11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials",0
Amount of Financial Support to Implement Nature-Based Solutions,1,1,0,amount of financial support to implement solutions,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"", 11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials",0
Habitat Restoration,0,1,1,habitat restoration,Unclassified,11
Pollution Reduction Initiatives,1,1,0,pollution reduction initiatives,"11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",8
Carbon Management Practices,1,1,0,carbon management practices,"11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries, 11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries, 11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management",3
Monetary Values of Each Vegetation Community Type,1,1,0,monetary values of each vegetation community type,11.4.1 Total per capita expenditure on the preservation protection and conservation of all cultural and natural heritage by source of funding (public private) type of heritage (cultural natural) and level of government (national regional and local/ municipal) 11.4 Strengthen efforts to protect and safeguard the world's cultural and natural heritage,12
Distribution of Public Green Space,0,1,0,distribution of public green space,"11.2.1 Proportion of population that has convenient access to public transport by sex age and persons with disabilities. 11.2 By 2030 provide access to safe affordable accessible and sustainable transport systems for all improving road safety notably by expanding public transport with special attention to the needs of those in vulnerable situations women children persons with disabilities and older persons, 11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities, 11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities, 11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",14
Amount of Pollutants Captured by Vegetation,1,1,0,amount of pollutants captured by vegetation,Unclassified,0
Adaptation of Green and Blue Infrastructure,1,1,0,adaptation of green and blue infrastructure,"11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities",10
Restoration of Ecosystem Services,1,1,0,restoration of ecosystem services,"11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums, 11.5.3 Damage to critical infrastructure and (b) number of disruptions to basic services attributed to disasters 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations",11
Increase in Resilience to Climate Change,1,1,0,increase in resilience to climate change,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"", 11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",0
Adaptation and Resilience to Urban Climate Change,0,1,1,adaptation and resilience to urban climate change,"11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"", 11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels, 11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels",7
Urban Heat Island Effect Mitigation,1,1,0,urban heat island effect mitigation,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,7
Cost of Grey Infrastructure,1,1,0,cost of grey infrastructure,11.5.3 Damage to critical infrastructure and (b) number of disruptions to basic services attributed to disasters 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,0
Eco-Innovation and Eco-Design,1,1,0,and,Unclassified,0
Life Cycle Assessment,1,1,0,life cycle assessment,Unclassified,0
Innovation in Environmental Technologies and Processes,1,1,0,innovation in environmental technologies and processes,"11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",12
Innovation in Sustainable Practices and Technologies,1,1,0,innovation in sustainable practices and technologies,"11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries, 11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries, 11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials",3
Developing New Methods for Enhancing Urban Resilience and Sustainability,0,1,1,developing new methods for enhancing urban resilience and sustainability,Unclassified,13
E-Government Initiatives,1,1,0,initiatives,Unclassified,1
Enforcement of Environmental Regulations,1,1,0,enforcement of environmental regulations,"11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management, 11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0
Transparent Governance,1,1,1,transparent governance,Unclassified,0
