Indicator,Assigned_SDG_Class,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums,11.2.1 Proportion of population that has convenient access to public transport by sex age and persons with disabilities. 11.2 By 2030 provide access to safe affordable accessible and sustainable transport systems for all improving road safety notably by expanding public transport with special attention to the needs of those in vulnerable situations women children persons with disabilities and older persons,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,11.4.1 Total per capita expenditure on the preservation protection and conservation of all cultural and natural heritage by source of funding (public private) type of heritage (cultural natural) and level of government (national regional and local/ municipal) 11.4 Strengthen efforts to protect and safeguard the world's cultural and natural heritage,11.5.1 Number of deaths missing persons and directly affected persons attributed to disasters per 100 000 population. 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.5.2 Direct economic loss attributed to disasters in relation to global gross domestic product (GDP) 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.5.3 Damage to critical infrastructure and (b) number of disruptions to basic services attributed to disasters 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities,"11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities","11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Sustainable and Efficient Production and Consumption Patterns,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.0001922713260712561,0.10451439477297422,0.44428810106634176,0.26782832871041556,-0.030586348966190845,0.036869703047159995,0.029335387124105383,0.038056219443585775,0.007644772647729177,0.0006240284919550692,0.01564649116457429,0.004341859347855441,-0.008771741037615414,0.016101752342978642,0.011752451579153058,0.20155457122442627
Use of Non-Virgin and Low-Carbon Footprint Materials,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,0.01796900684066498,0.018034892426515372,-0.009734440373956023,0.02974564365505943,-0.04229959639045416,-0.008200938842032749,-0.008557853771658132,-0.008060953091224506,0.02368262248202774,0.09951307847572824,0.19708755494176855,0.010005073786242448,0.014421408451337396,0.03269163566559839,0.030372045312422154,0.3089580884101734
Economic Value of Resource Use,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,-0.0026967534033099745,0.012768357848049337,0.1215725979682247,-0.021335650809993036,0.013422245614910285,0.22040325902085323,0.4187153807846718,0.2033122107698436,-0.0014633886271471685,0.004908573639981727,0.10534360809062727,-0.005098678493181484,0.16527255961072423,0.09728389482031277,0.07835301944380223,0.005707522245531743
Reuse of Building Materials in New Constructions,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,-0.016877179747125035,-0.003584287941983845,0.0170171574899609,0.003808352877826575,-0.026336471155725055,0.016613241104900256,0.0039738702013782734,0.015829199774238297,-0.012624920967102693,-0.052476252349236634,-0.02271501174141422,-0.016265732963360032,-0.018648734223636162,-0.016949684479967926,-0.021474032384998013,0.41999262675427307
"Efficient Use of Resources, Materials, and Construction Techniques",11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.010594717054045254,-0.00847458127095903,0.023036352179052855,0.05087200197151544,-0.0532336309924095,-0.01777544997574285,-0.02581853494496294,-0.017390767491709935,0.017461180981602292,0.027795363302808105,0.13707156334367854,-0.012912768458842214,0.01896309559946936,0.024911225291202394,0.025327834111715724,0.008992567913947775
Techniques to Maximize the Effective Lifecycle of Buildings,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",2.248585677292621e-05,-0.04088508200447309,-0.03029835462292796,-0.0005358046681151889,-0.03719720636383151,0.005568525543903959,-0.0039919307233321115,0.0005773079706847207,-0.010174378313692091,0.040494374010367706,0.02263551867083088,0.004709069398029733,0.01120842452315566,0.045712479991988145,0.04220654862102153,0.27865743860765985
Measures to Improve Sustainability,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.013591671733530023,0.0240985508187645,0.02698480794997763,0.011956282869891921,-0.04106425978604661,0.16610217723155832,0.13000398729796403,0.1532843076538302,0.04193695154077662,0.06920702670458823,-0.003911301238085696,-0.015234394436054493,0.009367592263884929,0.05868113498635745,0.048319767274509935,-0.009763806473133706
Green and Blue Infrastructure,"11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities",-0.005231154718932193,-0.00546051082215367,-0.02511875893677197,-0.05003396517230046,-0.012058535827055144,0.006727035227120816,-0.0005900557655717815,0.22108678115535638,-0.007698579186781077,-0.0010053044023203167,0.19549429538722762,0.2624499562597578,0.004891461310395448,0.029977608816631734,0.021789294873315417,-0.0014306040437796679
Use of New or Traditional Materials,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,-0.010993151112578802,0.014753622438758078,-0.006344073183411228,-0.008981463105858067,-0.03202132780547907,0.019224995608963454,0.0038577760467629063,0.015617344496366361,-0.04424046981559298,-0.03998440166323242,0.11701540229493493,-0.008996883216517884,-0.009650819549031622,0.0006342629451995363,-0.007899460658956301,0.26238985697536743
Eco-Design Practices,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.02744639318005026,0.02441411671934843,0.06828308576897714,0.1074683605847171,0.005452747100094445,-0.014420770346639536,-0.008031527747249823,-0.02044661950441336,-0.003836833769976132,0.005873554952976696,0.012024685383322395,0.013984590449046437,-0.011294011965132484,0.02408416899527118,0.03041141677491565,0.03722318315755213
Sharing and Collaborative Consumption Strategies,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.013511439908432725,0.011986266259311372,0.2405484625634039,0.024185132491253543,-0.028427139760755168,-0.007613045922130536,-0.01562385052047877,-0.0039281780547395844,-0.019520904101907877,-0.0006509617517834832,0.022925907090865616,0.0351741439308839,0.0399155440582803,0.16615527786278675,0.2630067771057349,0.0011595221383929597
Resource Consumption,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.007195578362825209,-0.0029060549208960373,0.24213532076765798,-0.001959364644848876,0.021046430532084312,0.051944519621596165,0.05011433494180856,0.0464738670716101,-0.030836110768386993,0.019810387924571116,-0.001611051691975354,0.005086457017447144,0.021308916146126292,0.2051334975100362,0.18901908261184666,0.015413446873172993
"Flow of Materials, Energy, and Resources",11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.009361222685586309,-0.01606285978586833,-0.016830163390100326,-0.01697072320201512,-0.03236023090761203,0.0062104162197668,0.010037153997486826,0.004504931051030805,-0.01863148732170932,0.0026261621764404595,-0.0010888286731234255,0.0007887097126690224,-0.008429271307135043,-0.02119158165381739,-0.021089112048952828,0.0017374025730717323
Amount of Raw Materials Used,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,-0.00851878350349677,-0.010987387318970365,-0.02081663780396244,-0.017923309071778575,0.0657177904639507,-0.013057036198576726,-0.006748051350809845,-0.015081985735734188,0.035347741814139334,-0.021311919431608057,0.005071683177650322,-0.018397686597039227,-0.009475594438421477,-0.043924560854928886,-0.029304798003909657,0.27247829219624814
Virgin Material Use,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.0001400442833534583,0.01711223796252015,0.015499208948088029,0.007651598607050347,-0.05823236500084747,0.03710537531944742,0.027167565999196817,0.041521118297446376,0.007024056288506247,0.03177880863194704,0.13716982033057548,-0.01284058532362604,0.04551960537957377,0.036131252102294384,0.02875964064373903,-0.024546124350604607
Fossil Fuel Consumption,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.005695243945919084,0.008118740093189775,0.3200098329071244,-0.0025416495593949674,0.06071989490577133,0.02430766188239078,0.026215127165327864,0.02228897878730944,-0.0035148202455934927,0.045178972162881845,-0.00036596772285559925,0.0021129790902065268,0.037078123654193565,-0.02740576487011061,-0.026882894788607913,-0.010725808193576535
Average Amount of Raw Material Retained in the Cycle per Citizen per Year,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.034533047648380874,0.02874441395115283,0.019926774128342914,0.01735372900485004,0.06773700317449953,-0.0023472438331771065,-0.011959260930598948,0.001784177875460185,0.02405882379430889,0.0007494088423598408,0.16452611450304544,0.018937033766329825,0.013708781776530048,-0.0001228872856844329,-0.00028754838384007446,-0.016467449270709276
Reduction of Toxic Emissions,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.008192840402287807,0.004231637404013859,0.008241629383069852,-0.009417314841275752,0.06279277079090616,-0.056423654516506286,-0.057910002278349866,-0.050770909460857015,0.0056352422546241164,-0.046565615996317464,-0.015831010735601544,-0.01482987875093394,-0.011967038318359794,0.28018219416878876,0.26672599042041767,-0.011646198997410444
Energy Generated During Waste Treatment and Reused,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.01452834141816149,-0.04817838950466669,0.04756438728172506,-0.016027384381428273,-0.007981728699260997,0.03469059845573424,0.011228752228111512,0.04529134173481855,0.29305378245053976,0.10022901176145094,-0.051000789872790796,-0.060743750814284785,-0.005554633353221141,0.016258071110049326,-0.0007532257370316337,-0.002382193336104621
"Resource Efficiency (Labor, Material Inputs, or Energy)",11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.003953864857031508,-0.005252084125665552,0.06505883395719386,0.015002841596598017,0.05292602333253234,-0.02385465453623407,-0.034392938791979105,-0.024361461206808998,0.04345078397967302,-0.011215972935557206,0.02413610144489795,0.013279402930915262,-0.0008305535771753318,0.25624363496353525,0.22716026258272193,-0.0207911867499625
Reducing Non-Renewable Resources,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.008556612127907886,-0.016269368189291596,0.006486559732836099,-0.006242322922555601,0.028772441993751393,-0.04366828524969665,-0.03858901876909868,-0.04189789313927725,0.05668102469556096,0.0013770025753268619,0.004017229029284785,0.005650550903223957,-0.012873657680158933,-0.06440215656674096,-0.05289992225285726,-0.006762154179055559
Reuse of Waste and Reduction of Resource Depletion,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.005352516455071399,0.005490406527498673,-0.03244459325825286,-0.025406594003337862,0.02594990641108554,-0.0021435538914155415,0.007836213349552132,-0.00534646025331156,0.21311761206375585,0.10989718707505314,-0.0017415861243227082,-0.0020089327712196903,-0.0029157987633604276,0.31791590455802105,0.2837052583351961,0.004941318101077757
Renewable-Energy Systems and Efficient Use of Energy,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.003847660332578818,0.10618282666360822,-0.014156821717737036,-0.022335463347901426,0.11440709558280882,-0.004238473013563054,0.005642619920423724,-0.002793421143883967,0.001709962452721716,-0.030417682945269944,0.12108126400101452,-0.00958276438089204,-0.01544352434732156,-0.0438810944024953,-0.03487010725138082,-0.0075695304293981235
Control of Organic Matter from Waste,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.04037310470478516,-0.014699404661116631,0.056460015633732125,0.17057176784034717,0.0591065052468588,-0.023744909546719845,-0.018848775630610746,-0.02293994150396671,0.30944104889332386,0.5162775182871802,0.06816261315458239,-0.028267835168621143,-0.03216280681271269,0.05718319290866971,0.06599676159226793,-0.029775211431114577
Material Consumption Reduction,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.00592839415998534,-0.01644294623086699,0.24428073061247538,0.012237706618987387,-0.002440649871672296,0.05197106243950121,0.0356404332965729,0.04693066641317865,0.07243947758541537,0.030914399136959685,-0.012059264495410794,-0.020121614755261703,0.009078107153155804,0.31557914994644565,0.2812773119544227,0.002923984279334857
Use of Local Materials and Secondary Raw Materials,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,3.7144709456797043e-05,0.004637103797290867,0.023987006215857712,0.009247266965017755,0.031063472036802264,-0.01690415399307532,0.007469009213950919,-0.015987914837686534,0.01721108594211091,-0.01933960160784746,0.08595989841973883,-0.012867489718049824,0.0987512254566211,-0.0259346325926997,0.11732791146395831,0.4570081424485213
Resource-Efficient and Circular Material Life Cycles,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums,0.013857799256054834,0.012092220328218368,-0.00587093235249321,-0.00538872313650212,0.0024772112560372916,-0.006157788805069044,0.0033232857322125164,-0.005421592159977967,-0.004252974328346319,-0.028113879713554283,0.003303713438379895,0.02094319703445079,-0.021513792903567457,-0.015673051131773,-0.006934223930288439,0.023226215966797834
Increasing Durability of Products,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.013506194550450676,-0.01844880191969321,0.0031408673289580525,0.005492629327620943,-0.025766682743249083,0.12176915486281756,0.23207240426239337,0.12030585732143867,0.0062653449481079,0.0037380896172026575,-0.009426067911622904,-0.012331530464239706,0.027803728946552336,0.020438432393662928,0.016513341290568008,-0.012221779207511288
Redesign for Reuse and Recycling of Products,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.001371214958134629,-0.01925366992019769,-0.0297867386561364,-0.026809024070349276,-0.01370369262372451,-0.011803210233242581,-0.02348490564091258,-0.005891983603956146,0.0009916563446542817,-0.0060739851831164565,-0.0030084756766116326,-0.004874716894070943,0.01649853174390477,-0.015398987690560468,-0.01122352103799933,0.001137215877827211
Prolonging the Lifespan of Products,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.0015641020805016205,-0.006106074652372544,-0.01563662045191772,-0.005127823250859946,0.024029958699904038,0.08610141979880619,0.21003698573201637,0.08339806404975152,0.0005668439677760106,0.003915412590270392,0.01014557628579808,0.009173077516536027,0.018677665049774184,-0.0074438018317235745,-0.00020521620882392745,-0.0017541693366507599
Lifetime Extension Practices,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.002269935644973764,0.004126612509217297,0.008707108654348072,0.014509653521053862,0.0012242706562935388,-0.001962161115945094,-0.0009902622937649878,-0.00254792220212055,-0.000623053610310346,0.0021262855669232123,0.002556537105027036,0.003296328285247171,-0.0028904850167161184,0.004582613593459373,0.005507545717640764,0.004614392698682483
Focus on Locally Produced Food,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.0038457469550947088,-0.004727767510768662,-0.005520439170327117,-0.0024395121046474353,0.03108224866016241,0.14268223414265277,0.15187841155804677,0.13482684063326564,-0.006179723439558032,-0.010514805632958457,0.003428908232000777,0.007468538166133317,-0.00989521320764568,-0.014704868241684228,-0.00683596597542006,0.017468324157182993
Refurbishment and Recycling of Products,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.0007280046755175323,-0.033822670150393114,-0.0237253301099326,-0.020683722043586837,0.0028746976389964827,-0.03244542359724242,-0.05012371518928326,-0.025980525849126388,-0.0008635209185733517,-0.025690399591047974,0.001118754653872923,-0.0016588875844911837,0.019402206904582824,-0.00324531873657382,0.00247376608964713,-0.01802569755513698
Remanufacturing Processes Involving Water Use,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,0.031033092700801127,0.00717359160392451,-0.02700073777614196,-0.043986445633008915,-0.0017417343497841092,0.0018906165395881545,0.006061399898168201,0.0038760242733710828,-0.0057923213685841905,-0.009810857088171598,0.10189518158799625,0.013383066841862615,0.00714231280836336,0.004073148971613723,0.004954110777886955,-0.021649585804182477
Community-Based Recycling Initiatives,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.00015602543057278965,0.0008711559871696475,0.00698569033364894,-0.0079772026272797,0.010577718088850541,0.01149275051930518,0.006795439209501251,0.007917417067195568,-0.01077782923166365,0.0019930202048369736,0.007964551369308256,0.004499016697906921,0.004327360683770345,0.010159971394674349,0.008915178256121883,0.004406146494426348
local Recycling Rate,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.0021155121403814807,-0.0005577418610951156,0.22685965838888286,-0.02471258747862794,-0.022665827059123865,0.0035687098857776693,0.027346095563397833,0.002614075597257014,0.0025745337959989147,0.015669123472185673,0.008149082389556812,0.013410576496349278,0.15612834615774068,-0.001688352714085221,0.19645623804336582,0.2182245973887857
Thermal Hydrolysis,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.0004604443595946639,-0.05476963743326914,-0.043076085928792154,-0.039364942669412685,0.022859799214385162,-0.009027967407298318,-0.013276919264052944,-0.004317480650993924,-0.01631453281979528,-0.012347081085521027,-0.01757868452731804,-0.026885477917422868,-0.024134043589860543,-0.0250816355242251,-0.010833076188598183,-0.013821182567211298
Increase Longevity of Products,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.02376211312010384,-0.0396391129459637,0.0016935491946858704,-0.0155719341914256,-0.009815253532462561,-0.03678537861570425,-0.08852299348355534,-0.03417049679397305,-0.027391727535973593,-0.025987604445202622,0.025254682003227353,0.014753371553266437,0.10471185819258766,0.21068048701703798,0.1949957009351253,0.007482597042675399
Make Good Use of Material,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.008550465952664992,0.027086391806959785,0.02572124810229554,-0.0037146209599066395,0.06451536396151353,0.006446614354406642,0.0008098573279439108,-0.0002233336523122411,0.02923099916340605,0.023398913301499395,0.17027050081857417,-0.004077470036653178,0.04590342704891034,0.04468138402071151,0.037493311434101007,0.00043938344060465216
Lifetime Extension,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.011403658531492328,-0.00772290559556462,-0.024855981109740678,-0.03819427646200887,-0.0013772437941033113,0.005107723237188526,0.0029625014389039433,0.007510998954831525,0.0012429613760821165,-0.0005559019068527861,-0.00320176943796331,-0.00335247437095278,0.002445154104206326,-0.007030652964034788,-0.009198178386503737,-0.013701514685014115
Greenhouse Gas and CO2 Emission Reduction,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.01829441456454296,-0.012307904290938395,-0.008801907956271223,-0.040279706797487776,-0.03776915045080262,0.018668145951981078,0.02130976885898163,0.016932067493178004,-0.02748109988167547,-0.03779770958213426,-0.012351606068211007,0.0019724614124799313,-0.01103444713231804,0.14086490186003528,0.12180204967525556,-0.06684253983321424
Air Quality Improvements,11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.06412386071198597,-0.06710997448798307,0.02434838114331758,0.02620076274663133,-0.0047789551138790855,0.024184244180273613,0.024932061163547844,0.023246670872390233,0.37730687792868745,0.5346180756548863,-0.061108324280963085,-0.07664937431181315,0.0017557520270031824,-0.005367475398918677,-0.007428951140296596,0.004134358931003701
Pollution Reduction,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.0045873028570181445,0.003900581717720978,-0.006961477362127486,-0.0039974398848883486,-0.029064829403182668,0.007510968274326468,0.00578202693235321,0.00790830946636122,-0.03662607988724896,-0.004902954832008414,-0.010643763793725888,-0.010131837890938826,0.0010807089727315983,0.3720687116430528,0.3356716204231296,0.0064180337821449765
Greenhouse Gas Emissions Along a Building's Lifecycle,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.007682815943967917,0.006239537889537685,0.008256345402837336,0.0029752957799175682,0.026586517719191228,-0.010145788648257145,-0.004524700140467816,-0.009054470542409295,-0.010288001571449799,-0.03354711340611362,-0.018528298282990147,-0.0054337876566874325,0.0033935716972641086,-0.00025834633118671,0.004322976229363518,0.07275166834948445
Production of Thermal Energy from Waste Heat,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.009173538669560161,0.019781970772737408,0.025096725880643874,0.03111584609087184,0.013953920129348988,-0.015297892465908122,-0.004674563309916812,-0.018369371111723622,0.20056769740339475,0.0834597933600311,0.013066018364449972,0.02263754945416861,-0.01010545828515973,0.03183977191435575,0.029819491716298916,0.015400558158512314
Pollution of Resource and Material Reduction,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.012903114271805731,-0.0022144945985814995,0.02515275928504934,0.015895703872627613,0.04730197294451228,0.031741311794915995,0.029171293383900343,0.02722015951487064,0.01741036400752057,0.011414223230767854,0.007075499756167,-0.004807666578914512,0.009624978814740635,0.42355503747854223,0.3800497559799034,0.0006048804824535129
