Category,Subcategory,Indicator,Description
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,Parks and Accessible Pathways,Availability and accessibility of parks and pathways.
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,Enhancing Urban Green Spaces,Strategies to improve and expand urban green spaces.
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,Percentage of Green Spaces Buildings,Incorporation of green spaces within building designs.
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,Use of Recycled and Reusable Materials in Construction,Adoption of sustainable construction materials.
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,Integration of Nature-Based Solutions,Implementation and effectiveness of nature-based solutions.
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,Biodiversity Diversification,Efforts to enhance urban biodiversity.
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,Strategies for Enhancing Urban Green Coverage and Ecosystem Connectivity: ,Actions to improve green coverage and ecosystem connectivity.
Indicators for Urban Agriculture and Green Growth,Green Spaces and Ecosystem Services,Evaluate Pattern of Forests and Wetlands,Assessment and management of urban forests and wetlands.
"Indicators for Transportation, Mobility, and Accessibility",Efficient and Sustainable Transportation,Public Transport Usage and Electrical Energy Use in Transportation,Utilization and efficiency of public transport and electric vehicles.
"Indicators for Transportation, Mobility, and Accessibility",Efficient and Sustainable Transportation,"Transportation Modes such as Public Transit, Biking, and Walking",Promotion and adoption of sustainable transportation modes.
"Indicators for Transportation, Mobility, and Accessibility",Efficient and Sustainable Transportation,Reduction of Reliance on Single-Occupancy Vehicles and Enhancing Urban Mobility,Strategies to reduce dependence on private vehicles and improve urban mobility.
"Indicators for Transportation, Mobility, and Accessibility",Public Infrastructure and Accessibility,Development of Local Networks and ICT Infrastructure: ,Expansion and enhancement of local networks and ICT infrastructure.
"Indicators for Transportation, Mobility, and Accessibility",Public Infrastructure and Accessibility,Public Transport Links and Accessibility to Public Services,Connectivity and accessibility of public transport and services.
"Indicators for Transportation, Mobility, and Accessibility",Public Infrastructure and Accessibility,Percentage of Road Network Dedicated to Pedestrian Use,Allocation of road space for pedestrian use.
"Indicators for Transportation, Mobility, and Accessibility",Public Infrastructure and Accessibility,Cycling Infrastructure,Development and improvement of cycling infrastructure.
"Indicators for Transportation, Mobility, and Accessibility",Public Infrastructure and Accessibility,Electric Vehicles,Integration and support for electric vehicle infrastructure.
"Indicators for Transportation, Mobility, and Accessibility",Public Infrastructure and Accessibility,Walking Distance to Nearest Facilities,Accessibility of facilities within walking distance.
Indicators for Economics and Financial Analysis,Economic Development and Value Creation,Economic Value of Property and Land,"Economic value of property and land, increase in the value of land"
Indicators for Economics and Financial Analysis,Investment and Financial Incentives,Incentives for Green Businesses,"Incentives for green businesses, integration into global value chains, time value"
Indicators for Economics and Financial Analysis,Investment and Financial Incentives,Improve Level of Sustainable Supply Chains,Changes in property value
Indicators for Economics and Financial Analysis,Economic Growth and GDP,Design Activity as a Service Model,New symbioses activities
Indicators for Economics and Financial Analysis,Economic Growth and GDP,Design New Commercial Activities,"Employment rates, income distribution and poverty levels"
Indicators for Economics and Financial Analysis,Economic Growth and GDP,Level of Export and Import of Goods and Products,Breakdown of the annual budget
Indicators for Economics and Financial Analysis,Investment and Cost Management,Investments in the Recycling Process,"Return on investment (ROI) and payback period, avoided damage costs, reduce energy costs, green investment and investment costs"
Indicators for Economics and Financial Analysis,Investment and Cost Management,Industry Development Level,"Creative industries, sharing economy practices (shared office spaces, etc.), innovative startups and companies and innovation hubs, competitiveness of industries"
Indicators for Economics and Financial Analysis,Economic Stability and Growth,Average Income and Equality Among Low-Income Groups,
Indicators for Economics and Financial Analysis,Circular Economy Business Models,Adoption rates of circular products and services,
Indicators for Economics and Financial Analysis,Circular Economy Business Models,economic growth linked to CE activities,
Indicators for Economics and Financial Analysis,Circular Economy Performance and Rate,level of local jobs at all skill levels,
Indicators for Economics and Financial Analysis,Circular Economy Performance and Rate,Job creation through circular economy practices,
Indicators for Economics and Financial Analysis,Economic Resilience and Resource Security,revenue generated from circular products and services,
Indicators for Economics and Financial Analysis,Economic Resilience and Resource Security,Product lifespan and durability,
Indicators for Economics and Financial Analysis,Investment in Circular Economy Projects,Engagement with local industries and startups,"Engagement with local industries and startups, promoting community and public participation in circular practices, investment in local and global market integration, enhancement of local markets"
Indicators for Economics and Financial Analysis,Investment in Circular Economy Projects,promoting community and public participation in circular practices,
Indicators for Economics and Financial Analysis,Investment in Circular Economy Projects,"investment in local and global market integration, enhancement of local markets",

