Indicator,Economic,Environmental,Social,Processed_Indicator,Cluster,Assigned_Class
Energy Consumption,1,1,0,energy consumption,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Carbon Footprint and Greenhouse Gas Emissions,1,1,0,carbon footprint and greenhouse gas emissions,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Carbon Storage and Sequestration in Vegetation and Soil,1,1,0,carbon storage and sequestration in vegetation and soil,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Flow of Emissions,1,1,0,flow of emissions,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Material Flow Analysis (MFA),1,1,0,material flow analysis,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Renewable Energy Usage,1,1,0,renewable energy usage,2,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Resource Efficiency and Productivity,1,1,0,resource efficiency and productivity,4,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
Total Raw Material Productivity,1,1,0,total raw material productivity,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Water Reduction in Production Processes,1,1,0,water reduction in production processes,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Reduction in Potable Water Consumption,1,1,0,reduction in potable water consumption,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Efficient Use of Water Resources,1,1,0,efficient use of water resources,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Safe Water Accessibility,0,1,1,safe water accessibility,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Water Quality and Availability,1,1,0,water quality and availability,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Grey-Water Reuse and Black-Water Recycling,1,1,0,reuse and recycling,13,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Amount of Water Used in Houses,1,1,0,amount of water used in houses,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Amount of Water Used in Other Sectors,1,1,0,amount of water used in other sectors,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Integration of Water Resource Management with Human and Material Potential,1,1,1,integration of water resource management with human and material potential,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Strategies to Enhance Material and Human Engagement in Water Conservation,1,1,1,strategies to enhance material and human engagement in water conservation,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Protecting the Natural Environment and Regenerating Natural Systems,0,1,0,protecting the natural environment and regenerating natural systems,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Air Quality Assessment,1,1,0,air quality assessment,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Virgin Resources Used,1,1,0,virgin resources used,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Biogas Utilization and Impact,1,1,0,biogas utilization and impact,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Ecological Restoration and Biodiversity Enhancement,0,1,0,ecological restoration and biodiversity enhancement,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Number of Projects Including Nature-Based Solutions,0,1,1,number of projects including solutions,15,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Amount of Financial Support to Implement Nature-Based Solutions,1,1,0,amount of financial support to implement solutions,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Habitat Restoration,0,1,1,habitat restoration,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Pollution Reduction Initiatives,1,1,0,pollution reduction initiatives,5,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Carbon Management Practices,1,1,0,carbon management practices,14,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Monetary Values of Each Vegetation Community Type,1,1,0,monetary values of each vegetation community type,7,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Distribution of Public Green Space,0,1,0,distribution of public green space,9,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Amount of Pollutants Captured by Vegetation,1,1,0,amount of pollutants captured by vegetation,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Adaptation of Green and Blue Infrastructure,1,1,0,adaptation of green and blue infrastructure,3,"11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities"
Restoration of Ecosystem Services,1,1,0,restoration of ecosystem services,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Increase in Resilience to Climate Change,1,1,0,increase in resilience to climate change,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Adaptation and Resilience to Urban Climate Change,0,1,1,adaptation and resilience to urban climate change,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Urban Heat Island Effect Mitigation,1,1,0,urban heat island effect mitigation,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Cost of Grey Infrastructure,1,1,0,cost of grey infrastructure,3,"11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities"
Eco-Innovation and Eco-Design,1,1,0,and,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Life Cycle Assessment,1,1,0,life cycle assessment,0,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums
Innovation in Environmental Technologies and Processes,1,1,0,innovation in environmental technologies and processes,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Innovation in Sustainable Practices and Technologies,1,1,0,innovation in sustainable practices and technologies,14,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Developing New Methods for Enhancing Urban Resilience and Sustainability,0,1,1,developing new methods for enhancing urban resilience and sustainability,15,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
E-Government Initiatives,1,1,0,initiatives,8,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Enforcement of Environmental Regulations,1,1,0,enforcement of environmental regulations,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Transparent Governance,1,1,1,transparent governance,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
"Public Forums, Community Decision-Making Processes",1,1,1,public community processes,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
"Specialized Supporting Services (Financial, Knowledge, IT, R&D, etc.)",1,1,1,specialized supporting services,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Public Utilities and Transport Services Management,1,1,1,public utilities and transport services management,9,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Grants from Local and National Governments for Symbiosis Activities,1,1,1,grants from local and national governments for symbiosis activities,13,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Cost of Materials Used in Buildings,1,1,0,cost of materials used in buildings,15,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Waste Collection Costs,1,1,0,waste collection costs,6,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
Demolition and Construction Management Costs,1,1,0,demolition and construction management costs,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Impact of Urban Symbiosis Projects,1,1,1,impact of urban symbiosis projects,4,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
"nergy Recovered from Urban Water, Sewage, and Waste",1,1,0,nergy recovered from urban and waste,6,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
"ircular Economy Policies at City, Regional, and National Levels",1,1,1,ircular economy policies at and national levels,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Incentives to Enhance Circular Economy Transformation,1,1,1,incentives to enhance circular economy transformation,0,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums
R&D Expenditure,1,1,1,expenditure,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Patents Related to Circular Economy Technologies and Processes,1,1,1,patents related to circular economy technologies and processes,12,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Integration of IoT and AI in CE Initiatives,1,1,0,integration of iot and ai in ce initiatives,8,11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels
Digital Tools and GIS Applications Integration,1,1,0,digital tools and gis applications integration,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Smart City and Technology Enhancements,1,1,1,smart city and technology enhancements,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Regenerative and Systems Thinking to Promote Long-Term Sustainability,1,1,1,regenerative and systems thinking to promote sustainability,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Public Awareness Campaigns,1,1,1,public awareness campaigns,7,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Community Participation Rates in CE Programs,1,1,1,community participation rates in ce programs,10,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums
Nature-Based Solution Adoption and Establishment of New Communities,1,1,1,solution adoption and establishment of new communities,15,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Social Innovation and Entrepreneurship,0,1,1,social innovation and entrepreneurship,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Balance Between Women & Men ,1,1,1,balance between women men,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Heaviest Age Group ,0,0,1,heaviest age group,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Social Equity Level in Low-Income Groups,0,0,1,social equity level in groups,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Active Population ,0,0,1,active population,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
"Promoting Social Equity, Justice, and Human Rights",0,0,1,promoting social and human rights,2,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Social Capital and Social Well-being,0,0,1,social capital and social,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Healthcare Access and Quality,0,0,1,healthcare access and quality,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Fare Accessibility to Services: ,0,0,1,fare accessibility to,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Social Inclusion and Cultural Dimension,0,0,1,social inclusion and cultural dimension,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Crime Rates and Safety,0,0,1,crime rates and safety,10,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums
Citizen Behavior Toward Sustainable Practices,0,0,1,citizen behavior toward sustainable practices,14,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Education Quality and Accessibility,0,0,1,education quality and accessibility,7,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Training opportunities programs,0,0,1,training opportunities programs,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
community awareness and education on circular practices,0,0,1,community awareness and education on circular practices,7,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Percentage of Space for Ecosystems (Urban Farming) in Spatial Planning,0,0,1,percentage of space for ecosystems in spatial planning,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Urban Regeneration and Land Use Efficiency,0,0,1,urban regeneration and land use efficiency,4,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management
"Close Linkage to Use of Resources (e.g., Built Environment and Infrastructures)",1,1,0,close linkage to use of resources built environment and,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Number of Projects/Solutions that Reduce Material Consumption and Improve Sustainability,1,1,0,number of that reduce material consumption and improve sustainability,11,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Resource Sufficiency and Conservation Efforts,1,1,0,resource sufficiency and conservation efforts,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Access to Affordable Housing,1,0,1,access to affordable housing,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Housing Deficiency,1,0,1,housing deficiency,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Percentage of Inhabitants,0,0,1,percentage of inhabitants,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Building Footprint,1,1,0,building footprint,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Co-building; Cohousing & Cooperative Housing,1,0,1,cohousing cooperative housing,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Lifecycle of the Building,1,1,0,lifecycle of the building,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Production of Public Spaces as Places:,1,0,1,production of public spaces as,9,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Activation of Vacant and Unused Spaces,0,1,1,activation of vacant and unused spaces,9,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Healthy and Comfortable Spaces,0,0,1,healthy and comfortable spaces,9,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Quality of Public Spaces in Terms of Attractiveness,0,0,1,quality of public spaces in terms of attractiveness,9,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
"Sustainable Urban Design Promoting Renewable Energy, Green Spaces, and Pedestrian-Friendly Streets",0,1,1,sustainable urban design promoting renewable green and streets,2,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Built Flexible Environments and Smart Building Sustainable Technologies,1,1,1,built flexible environments and smart building sustainable technologies,2,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries
Urbanization Process Pattern,1,1,1,urbanization process pattern,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Health Urban Ecology,0,1,1,health urban ecology,1,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning"""
Regenerate and Renovate Existing Structures and Spaces,1,1,0,regenerate and renovate existing structures and spaces,9,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities
Number of Buildings and Spaces Reused for New Functions,1,1,0,number of buildings and spaces reused for new functions,15,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
